tab delimited	contribution
magic_version
3.0
>>>>>>>>>>
tab delimited	locations
location	location_type	citations	lat_s	lat_n	lon_w	lon_e
Michipicoten Island	Region	This study	47.7022	47.7244	274.044128	274.3519
Two Island River	Outcrop	This study	47.524091	47.53669	269.06	269.07756
>>>>>>>>>>
tab delimited	sites
site	location	specimens	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	height	age	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_r	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_comp_name	dir_polarity	dir_nrm_origin	vgp_lat	vgp_lon	vgp_dp	vgp_dm	vgp_n_samples	description	criteria	software_packages	analysts
CM2	Michipicoten Island	CM2-1a:CM2-2a:CM2-3a:CM2-4a:CM2-5a:CM2-6a:CM2-7a:CM2-8a:CM2-9a	i		DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.719	274.0441	58.7	1085.425	Ma	100	303.8	6.1	1.6	8.9923	1035	9				n	p	24.4	159.7	0.8	1.6	9	VGP Site: CM2, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB01	Two Island River	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a		g	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Basalt			0	1088.805	Ma	0	274.2	13.5	3.1	8.972	285	9	9	0	mag	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
SLB01	Two Island River	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a		g	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Basalt			0	1088.805	Ma	0	274.5	12.1	2.2	8.9852	541	9	9	0	hem	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
SLB01	Two Island River	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a		g	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Basalt			0	1088.805	Ma	100	270.2	26.6	3.1	8.972	285	9	9	0	mag	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
SLB01	Two Island River	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a		g	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Basalt			0	1088.805	Ma	100	270.8	25.2	2.2	8.9851	539	9	9	0	hem	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
SLB01	Two Island River	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5367	269.06	58.7	1088.805	Ma	100	274.2	13.5	3.1	8.972	285	9				n	p	7.9	180.6	1.6	3.2	9	VGP Site: SLB01, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB01	Two Island River	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5367	269.06	58.7	1088.805	Ma	0										n	p	7.9	180.6	1.6	3.2	9	VGP Site: SLB01, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB01	Two Island River	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5367	269.06	58.7	1088.805	Ma	100	274.5	12.1	2.2	8.9852	541	9				n	p	7.5	179.9	1.1	2.2	9	VGP Site: SLB01, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB01	Two Island River	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5367	269.06	58.7	1088.805	Ma	0										n	p	7.5	179.9	1.1	2.2	9	VGP Site: SLB01, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB01	Two Island River	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a	i		DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5367	269.06	58.7	1088.805	Ma	100	270.2	26.6	3.1	8.972	285	9				n	p	10.5	188.5	1.8	3.4	9	VGP Site: SLB01, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB01	Two Island River	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a	i		DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5367	269.06	58.7	1088.805	Ma	100	270.8	25.2	2.2	8.9851	539	9				n	p	10.3	187.5	1.3	2.4	9	VGP Site: SLB01, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB02	Two Island River	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a		g	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Basalt			4.3	1088.805	Ma	0	278.1	14.3	4	8.9518	166	9	9	0	mag	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
SLB02	Two Island River	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a		g	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Basalt			4.3	1088.805	Ma	0	275.2	12.2	3.8	8.9571	186	9	9	0	hem	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
SLB02	Two Island River	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a		g	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Basalt			4.3	1088.805	Ma	100	274.2	28.1	4	8.9516	165	9	9	0	mag	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
SLB02	Two Island River	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a		g	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Basalt			4.3	1088.805	Ma	100	271.6	25.5	3.8	8.9572	187	9	9	0	hem	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
SLB02	Two Island River	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5367	269.06	58.7	1088.805	Ma	100	278.1	14.3	4	8.9518	166	9				n	p	10.8	178	2.1	4.1	9	VGP Site: SLB02, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB02	Two Island River	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5367	269.06	58.7	1088.805	Ma	0										n	p	10.8	178	2.1	4.1	9	VGP Site: SLB02, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB02	Two Island River	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5367	269.06	58.7	1088.805	Ma	100	275.2	12.2	3.8	8.9571	186	9				n	p	8.1	179.4	2	3.9	9	VGP Site: SLB02, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB02	Two Island River	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5367	269.06	58.7	1088.805	Ma	0										n	p	8.1	179.4	2	3.9	9	VGP Site: SLB02, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB02	Two Island River	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a	i		DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5367	269.06	58.7	1088.805	Ma	100	274.2	28.1	4	8.9516	165	9				n	p	13.8	186.3	2.4	4.4	9	VGP Site: SLB02, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB02	Two Island River	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a	i		DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5367	269.06	58.7	1088.805	Ma	100	271.6	25.5	3.8	8.9572	187	9				n	p	10.9	187.1	2.2	4.1	9	VGP Site: SLB02, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB03	Two Island River	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a		g	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Basalt			68.7	1088.805	Ma	0	295	35.3	3.9	7.9651	201	8	8	0	mag	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
SLB03	Two Island River	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a		g	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Basalt			68.7	1088.805	Ma	0	296.3	35.5	4.7	7.9506	142	8	8	0	hem	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
SLB03	Two Island River	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a		g	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Basalt			68.7	1088.805	Ma	100	289.5	51.3	3.9	7.9656	204	8	8	0	mag	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
SLB03	Two Island River	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a		g	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Basalt			68.7	1088.805	Ma	100	291.2	51.7	4.7	7.9508	142	8	8	0	hem	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
SLB03	Two Island River	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5344	269.065	58.7	1088.805	Ma	100	295	35.3	3.9	7.9651	201	8				n	p	31	174.5	2.6	4.5	8	VGP Site: SLB03, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB03	Two Island River	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5344	269.065	58.7	1088.805	Ma	0										n	p	31	174.5	2.6	4.5	8	VGP Site: SLB03, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB03	Two Island River	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5344	269.065	58.7	1088.805	Ma	100	296.3	35.5	4.7	7.9506	142	8				n	p	32	173.6	3.1	5.4	8	VGP Site: SLB03, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB03	Two Island River	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5344	269.065	58.7	1088.805	Ma	0										n	p	32	173.6	3.1	5.4	8	VGP Site: SLB03, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB03	Two Island River	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a	i		DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5344	269.065	58.7	1088.805	Ma	100	289.5	51.3	3.9	7.9656	204	8				n	p	35.6	189.6	3.6	5.3	8	VGP Site: SLB03, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB03	Two Island River	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a	i		DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5344	269.065	58.7	1088.805	Ma	100	291.2	51.7	4.7	7.9508	142	8				n	p	36.9	188.8	4.4	6.4	8	VGP Site: SLB03, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB04	Two Island River	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a		g	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Basalt			76.4	1088.805	Ma	0	297.8	37	2.7	7.9837	430	8	8	0	mag	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
SLB04	Two Island River	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a		g	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Basalt			76.4	1088.805	Ma	0	295.9	37.7	2.9	7.9804	357	8	8	0	hem	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
SLB04	Two Island River	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a		g	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Basalt			76.4	1088.805	Ma	100	292.9	53.3	2.7	7.9836	427	8	8	0	mag	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
SLB04	Two Island River	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a		g	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Basalt			76.4	1088.805	Ma	100	290.2	53.8	2.9	7.9804	357	8	8	0	hem	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
SLB04	Two Island River	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5342	269.0652	58.7	1088.805	Ma	100	297.8	37	2.7	7.9837	430	8				n	p	33.7	173.3	1.9	3.2	8	VGP Site: SLB04, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB04	Two Island River	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5342	269.0652	58.7	1088.805	Ma	0										n	p	33.7	173.3	1.9	3.2	8	VGP Site: SLB04, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB04	Two Island River	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5342	269.0652	58.7	1088.805	Ma	100	295.9	37.7	2.9	7.9804	357	8				n	p	32.8	175.2	2	3.4	8	VGP Site: SLB04, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB04	Two Island River	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a	i		DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5342	269.0652	58.7	1088.805	Ma	0										n	p	32.8	175.2	2	3.4	8	VGP Site: SLB04, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB04	Two Island River	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a	i		DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5342	269.0652	58.7	1088.805	Ma	100	292.9	53.3	2.7	7.9836	427	8				n	p	39	189.3	2.6	3.8	8	VGP Site: SLB04, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB04	Two Island River	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a	i		DA-DIR-TILT:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study				47.5342	269.0652	58.7	1088.805	Ma	100	290.2	53.8	2.9	7.9804	357	8				n	p	37.5	191.5	2.8	4.1	8	VGP Site: SLB04, "Site VGP, coord system = 100 component: MT"	ACCEPT	pmagpy-3.4.1	
SLB05	Two Island River	SLB05.1a:SLB05.2a:SLB05.3a:SLB05.4a:SLB05.6a:SLB05.7a:SLB05.8a:SLB05.9a		g	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Basalt			78.4	1088.805	Ma	0	294.5	39.2	3.7	7.9681	219	8	8	0	mag	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
SLB05	Two Island River	SLB05.1a:SLB05.2a:SLB05.3a:SLB05.4a:SLB05.6a:SLB05.7a:SLB05.8a:SLB05.9a		g	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-T	This study	Extrusive	Lava Flow	Basalt			78.4	1088.805	Ma	0	292.3	39.4	3.7	7.9686	223	8	8	0	hem	n	p						Site direction included in results table	ACCEPT	pmagpy-3.4.1	Fairchild:Sprain:Swanson-Hysell
